@relation relasionsita

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric

@data
Miércoles,Julio,2,Laboral,416
Jueves,Julio,2,Laboral,436
Viernes,Julio,2,Laboral,483
Sábado,Julio,2,Víspera,526
Domingo,Julio,2,Festivo,822
Lunes,Julio,3,Laboral,724
Martes,Julio,3,Laboral,889
Miércoles,Julio,3,Laboral,278
Jueves,Julio,3,Laboral,277
Viernes,Julio,3,Laboral,254
Sábado,Julio,3,Víspera,263
Domingo,Julio,3,Festivo,365
Lunes,Julio,4,Laboral,526
Martes,Julio,4,Laboral,657
Miércoles,Julio,4,Laboral,233
Jueves,Julio,4,Laboral,295
Viernes,Julio,4,Laboral,238
Sábado,Julio,4,Víspera,202
Domingo,Julio,4,Festivo,324
Lunes,Julio,5,Laboral,476
Martes,Julio,5,Laboral,524
Miércoles,Julio,5,Laboral,336
Jueves,Julio,5,Laboral,403
Viernes,Julio,5,Laboral,364
Sábado,Julio,5,Víspera,372
Domingo,Julio,5,Festivo,406
Lunes,Julio,6,Laboral,933
Martes,Julio,6,Laboral,852
Miércoles,Julio,6,Laboral,1377
Jueves,Julio,6,Laboral,1441
Viernes,Julio,6,Laboral,1302
Sábado,Julio,6,Víspera,1297
Domingo,Julio,6,Festivo,1297
Lunes,Julio,7,Laboral,1457
Martes,Julio,7,Laboral,999
Miércoles,Julio,7,Laboral,4562
Jueves,Julio,7,Laboral,4472
Viernes,Julio,7,Laboral,4280
Sábado,Julio,7,Víspera,4313
Domingo,Julio,7,Festivo,4056
Lunes,Julio,8,Laboral,2366
Martes,Julio,8,Laboral,1346
Miércoles,Julio,8,Laboral,8005
Jueves,Julio,8,Laboral,7899
Viernes,Julio,8,Laboral,8355
Sábado,Julio,8,Víspera,8212
Domingo,Julio,8,Festivo,8025
Lunes,Julio,9,Laboral,3494
Martes,Julio,9,Laboral,1852
Miércoles,Julio,9,Laboral,7975
Jueves,Julio,9,Laboral,7430
Viernes,Julio,9,Laboral,8366
Sábado,Julio,9,Víspera,8098
Domingo,Julio,9,Festivo,7891
Lunes,Julio,10,Laboral,4593
Martes,Julio,10,Laboral,3097
Miércoles,Julio,10,Laboral,7326
Jueves,Julio,10,Laboral,6363
Viernes,Julio,10,Laboral,8058
Sábado,Julio,10,Víspera,7841
Domingo,Julio,10,Festivo,7783
Lunes,Julio,11,Laboral,5441
Martes,Julio,11,Laboral,4213
Miércoles,Julio,11,Laboral,7376
Jueves,Julio,11,Laboral,5756
Viernes,Julio,11,Laboral,7386
Sábado,Julio,11,Víspera,7170
Domingo,Julio,11,Festivo,7345
Lunes,Julio,12,Laboral,6534
Martes,Julio,12,Laboral,5179
Miércoles,Julio,12,Laboral,7612
Jueves,Julio,12,Laboral,6439
Viernes,Julio,12,Laboral,7345
Sábado,Julio,12,Víspera,7352
Domingo,Julio,12,Festivo,7706
Lunes,Julio,13,Laboral,6906
Martes,Julio,13,Laboral,5959
Miércoles,Julio,13,Laboral,7660
Jueves,Julio,13,Laboral,6888
Viernes,Julio,13,Laboral,7541
Sábado,Julio,13,Víspera,7456
Domingo,Julio,13,Festivo,7380
Lunes,Julio,14,Laboral,7284
Martes,Julio,14,Laboral,5988
Miércoles,Julio,14,Laboral,8885
Jueves,Julio,14,Laboral,8275
Viernes,Julio,14,Laboral,8723
Sábado,Julio,14,Víspera,8854
Domingo,Julio,14,Festivo,9525
Lunes,Julio,15,Laboral,6453
Martes,Julio,15,Laboral,4915
Miércoles,Julio,15,Laboral,9457
Jueves,Julio,15,Laboral,9205
Viernes,Julio,15,Laboral,9093
Sábado,Julio,15,Víspera,8948
Domingo,Julio,15,Festivo,9739
Lunes,Julio,16,Laboral,5069
Martes,Julio,16,Laboral,3825
Miércoles,Julio,16,Laboral,8926
Jueves,Julio,16,Laboral,8841
Viernes,Julio,16,Laboral,8418
Sábado,Julio,16,Víspera,8438
Domingo,Julio,16,Festivo,8747
Lunes,Julio,17,Laboral,5210
Martes,Julio,17,Laboral,4557
Miércoles,Julio,17,Laboral,8644
Jueves,Julio,17,Laboral,8594
Viernes,Julio,17,Laboral,7911
Sábado,Julio,17,Víspera,8263
Domingo,Julio,17,Festivo,8194
Lunes,Julio,18,Laboral,5875
Martes,Julio,18,Laboral,5375
Miércoles,Julio,18,Laboral,7404
Jueves,Julio,18,Laboral,8364
Viernes,Julio,18,Laboral,8087
Sábado,Julio,18,Víspera,8009
Domingo,Julio,18,Festivo,8114
Lunes,Julio,19,Laboral,6129
Martes,Julio,19,Laboral,6100
Miércoles,Julio,19,Laboral,6795
Jueves,Julio,19,Laboral,8303
Viernes,Julio,19,Laboral,7677
Sábado,Julio,19,Víspera,7723
Domingo,Julio,19,Festivo,8127
Lunes,Julio,20,Laboral,6254
Martes,Julio,20,Laboral,6136
Miércoles,Julio,20,Laboral,6294
Jueves,Julio,20,Laboral,7117
Viernes,Julio,20,Laboral,6270
Sábado,Julio,20,Víspera,7099
Domingo,Julio,20,Festivo,7140
Lunes,Julio,21,Laboral,6575
Martes,Julio,21,Laboral,5809
Miércoles,Julio,21,Laboral,4797
Jueves,Julio,21,Laboral,6878
Viernes,Julio,21,Laboral,6198
Sábado,Julio,21,Víspera,6889
Domingo,Julio,21,Festivo,7245
Lunes,Julio,22,Laboral,6226
Martes,Julio,22,Laboral,4992
Miércoles,Julio,22,Laboral,4695
Jueves,Julio,22,Laboral,5176
Viernes,Julio,22,Laboral,5481
Sábado,Julio,22,Víspera,5590
Domingo,Julio,22,Festivo,6185
Lunes,Julio,23,Laboral,4308
Martes,Julio,23,Laboral,3206
Miércoles,Julio,23,Laboral,3100
Jueves,Julio,23,Laboral,3646
Viernes,Julio,23,Laboral,3713
Sábado,Julio,23,Víspera,3825
Domingo,Julio,23,Festivo,4195
Lunes,Julio,24,Laboral,2725
Martes,Julio,24,Laboral,1796
Miércoles,Julio,24,Laboral,1400
Jueves,Julio,24,Laboral,1753
Viernes,Julio,24,Laboral,2043
Sábado,Julio,24,Víspera,2055
Domingo,Julio,24,Festivo,2524
Lunes,Agosto,1,Laboral,875
Martes,Agosto,1,Laboral,845
Miércoles,Agosto,1,Laboral,891
Jueves,Agosto,1,Laboral,1145
Viernes,Agosto,1,Laboral,1168
Sábado,Agosto,1,Víspera,1609
Domingo,Agosto,1,Festivo,1627
Lunes,Agosto,2,Laboral,514
Martes,Agosto,2,Laboral,459
Miércoles,Agosto,2,Laboral,442
Jueves,Agosto,2,Laboral,610
Viernes,Agosto,2,Laboral,619
Sábado,Agosto,2,Víspera,1033
Domingo,Agosto,2,Festivo,1120
Lunes,Agosto,3,Laboral,226
Martes,Agosto,3,Laboral,332
Miércoles,Agosto,3,Laboral,291
Jueves,Agosto,3,Laboral,318
Viernes,Agosto,3,Laboral,354
Sábado,Agosto,3,Víspera,686
Domingo,Agosto,3,Festivo,779
Lunes,Agosto,4,Laboral,201
Martes,Agosto,4,Laboral,303
Miércoles,Agosto,4,Laboral,263
Jueves,Agosto,4,Laboral,275
Viernes,Agosto,4,Laboral,354
Sábado,Agosto,4,Víspera,462
Domingo,Agosto,4,Festivo,557
Lunes,Agosto,5,Laboral,277
Martes,Agosto,5,Laboral,376
Miércoles,Agosto,5,Laboral,367
Jueves,Agosto,5,Laboral,406
Viernes,Agosto,5,Laboral,416
Sábado,Agosto,5,Víspera,442
Domingo,Agosto,5,Festivo,469
Lunes,Agosto,6,Laboral,902
Martes,Agosto,6,Laboral,1240
Miércoles,Agosto,6,Laboral,1208
Jueves,Agosto,6,Laboral,1272
Viernes,Agosto,6,Laboral,1244
Sábado,Agosto,6,Víspera,848
Domingo,Agosto,6,Festivo,819
Lunes,Agosto,7,Laboral,2102
Martes,Agosto,7,Laboral,3756
Miércoles,Agosto,7,Laboral,3637
Jueves,Agosto,7,Laboral,3614
Viernes,Agosto,7,Laboral,3523
Sábado,Agosto,7,Víspera,1209
Domingo,Agosto,7,Festivo,976
Lunes,Agosto,8,Laboral,5673
Martes,Agosto,8,Laboral,6625
Miércoles,Agosto,8,Laboral,6668
Jueves,Agosto,8,Laboral,6463
Viernes,Agosto,8,Laboral,6460
Sábado,Agosto,8,Víspera,1960
Domingo,Agosto,8,Festivo,1316
Lunes,Agosto,9,Laboral,4189
Martes,Agosto,9,Laboral,6161
Miércoles,Agosto,9,Laboral,5918
Jueves,Agosto,9,Laboral,6120
Viernes,Agosto,9,Laboral,6155
Sábado,Agosto,9,Víspera,2949
Domingo,Agosto,9,Festivo,1743
Lunes,Agosto,10,Laboral,4542
Martes,Agosto,10,Laboral,6227
Miércoles,Agosto,10,Laboral,5840
Jueves,Agosto,10,Laboral,6278
Viernes,Agosto,10,Laboral,6167
Sábado,Agosto,10,Víspera,3886
Domingo,Agosto,10,Festivo,2668
Lunes,Agosto,11,Laboral,5242
Martes,Agosto,11,Laboral,6386
Miércoles,Agosto,11,Laboral,5978
Jueves,Agosto,11,Laboral,6402
Viernes,Agosto,11,Laboral,6111
Sábado,Agosto,11,Víspera,4683
Domingo,Agosto,11,Festivo,3836
Lunes,Agosto,12,Laboral,6162
Martes,Agosto,12,Laboral,6552
Miércoles,Agosto,12,Laboral,6536
Jueves,Agosto,12,Laboral,6711
Viernes,Agosto,12,Laboral,3169
Sábado,Agosto,12,Víspera,5798
Domingo,Agosto,12,Festivo,4700
Lunes,Agosto,13,Laboral,5693
Martes,Agosto,13,Laboral,6609
Miércoles,Agosto,13,Laboral,6644
Jueves,Agosto,13,Laboral,6869
Viernes,Agosto,13,Laboral,6797
Sábado,Agosto,13,Víspera,6021
Domingo,Agosto,13,Festivo,5025
Lunes,Agosto,14,Laboral,7150
Martes,Agosto,14,Laboral,7292
Miércoles,Agosto,14,Laboral,7070
Jueves,Agosto,14,Laboral,6657
Viernes,Agosto,14,Laboral,7845
Sábado,Agosto,14,Víspera,6122
Domingo,Agosto,14,Festivo,4894
Lunes,Agosto,15,Laboral,6969
Martes,Agosto,15,Laboral,7379
Miércoles,Agosto,15,Laboral,7239
Jueves,Agosto,15,Laboral,7502
Viernes,Agosto,15,Laboral,7555
Sábado,Agosto,15,Víspera,5327
Domingo,Agosto,15,Festivo,4118
Lunes,Agosto,16,Laboral,5028
Martes,Agosto,16,Laboral,7336
Miércoles,Agosto,16,Laboral,6967
Jueves,Agosto,16,Laboral,7274
Viernes,Agosto,16,Laboral,6929
Sábado,Agosto,16,Víspera,4214
Domingo,Agosto,16,Festivo,3367
Lunes,Agosto,17,Laboral,2583
Martes,Agosto,17,Laboral,6888
Miércoles,Agosto,17,Laboral,6666
Jueves,Agosto,17,Laboral,6250
Viernes,Agosto,17,Laboral,6705
Sábado,Agosto,17,Víspera,4316
Domingo,Agosto,17,Festivo,3878
Lunes,Agosto,18,Laboral,1751
Martes,Agosto,18,Laboral,6689
Miércoles,Agosto,18,Laboral,6363
Jueves,Agosto,18,Laboral,6700
Viernes,Agosto,18,Laboral,6471
Sábado,Agosto,18,Víspera,4780
Domingo,Agosto,18,Festivo,4565
Lunes,Agosto,19,Laboral,5207
Martes,Agosto,19,Laboral,6552
Miércoles,Agosto,19,Laboral,5436
Jueves,Agosto,19,Laboral,6602
Viernes,Agosto,19,Laboral,6235
Sábado,Agosto,19,Víspera,4790
Domingo,Agosto,19,Festivo,4700
Lunes,Agosto,20,Laboral,3479
Martes,Agosto,20,Laboral,6151
Miércoles,Agosto,20,Laboral,4362
Jueves,Agosto,20,Laboral,5887
Viernes,Agosto,20,Laboral,5078
Sábado,Agosto,20,Víspera,5374
Domingo,Agosto,20,Festivo,5046
Lunes,Agosto,21,Laboral,3172
Martes,Agosto,21,Laboral,5356
Miércoles,Agosto,21,Laboral,4897
Jueves,Agosto,21,Laboral,5876
Viernes,Agosto,21,Laboral,5827
Sábado,Agosto,21,Víspera,5348
Domingo,Agosto,21,Festivo,4812
Lunes,Agosto,22,Laboral,4486
Martes,Agosto,22,Laboral,4151
Miércoles,Agosto,22,Laboral,4638
Jueves,Agosto,22,Laboral,4727
Viernes,Agosto,22,Laboral,5213
Sábado,Agosto,22,Víspera,4909
Domingo,Agosto,22,Festivo,4152
Lunes,Agosto,23,Laboral,2874
Martes,Agosto,23,Laboral,3054
Miércoles,Agosto,23,Laboral,3298
Jueves,Agosto,23,Laboral,3240
Viernes,Agosto,23,Laboral,3648
Sábado,Agosto,23,Víspera,3715
Domingo,Agosto,23,Festivo,2773
Lunes,Agosto,24,Laboral,1528
Martes,Agosto,24,Laboral,1611
Miércoles,Agosto,24,Laboral,2173
Jueves,Agosto,24,Laboral,1915
Viernes,Agosto,24,Laboral,2297
Sábado,Agosto,24,Víspera,2324
Domingo,Agosto,24,Festivo,2109
