@relation ./DatosEnPDF/16_01-04_01-10.pdf

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute lluvia {si, no}
@attribute cantidad numeric

@data
Viernes,Enero,21,Laboral,no,6487
Sábado,Enero,21,Víspera,no,5786
Domingo,Enero,21,Festivo,no,4102
Lunes,Enero,22,Laboral,no,3696
Martes,Enero,22,Laboral,no,3656
Miércoles,Enero,22,Laboral,no,3725
Jueves,Enero,22,Laboral,no,3841
Viernes,Enero,22,Laboral,no,5004
Sábado,Enero,22,Víspera,no,4982
Domingo,Enero,22,Festivo,no,2917
Lunes,Enero,23,Laboral,no,2564
Martes,Enero,23,Laboral,no,2446
Miércoles,Enero,23,Laboral,no,2564
Jueves,Enero,23,Laboral,no,2610
Viernes,Enero,23,Laboral,no,3346
Sábado,Enero,23,Víspera,no,3310
Domingo,Enero,23,Festivo,no,1750
Lunes,Enero,24,Laboral,no,1403
Martes,Enero,24,Laboral,no,1019
Miércoles,Enero,24,Laboral,no,1325
Jueves,Enero,24,Laboral,no,1408
Viernes,Enero,24,Laboral,no,2082
Sábado,Enero,24,Víspera,no,2178
Domingo,Enero,24,Festivo,no,1041
Lunes,Enero,1,Laboral,no,503
Martes,Enero,1,Laboral,si,631
Miércoles,Enero,1,Laboral,no,577
Jueves,Enero,1,Laboral,no,652
Viernes,Enero,1,Laboral,no,685
Sábado,Enero,1,Víspera,no,1259
Domingo,Enero,1,Festivo,no,1593
Lunes,Enero,2,Laboral,no,293
Martes,Enero,2,Laboral,si,343
Miércoles,Enero,2,Laboral,no,340
Jueves,Enero,2,Laboral,no,375
Viernes,Enero,2,Laboral,no,372
Sábado,Enero,2,Víspera,no,809
Domingo,Enero,2,Festivo,no,982
Lunes,Enero,3,Laboral,no,172
Martes,Enero,3,Laboral,si,246
Miércoles,Enero,3,Laboral,no,206
Jueves,Enero,3,Laboral,no,282
Viernes,Enero,3,Laboral,no,222
Sábado,Enero,3,Víspera,no,675
Domingo,Enero,3,Festivo,no,640
Lunes,Enero,4,Laboral,no,139
Martes,Enero,4,Laboral,si,182
Miércoles,Enero,4,Laboral,no,174
Jueves,Enero,4,Laboral,no,184
Viernes,Enero,4,Laboral,no,222
Sábado,Enero,4,Víspera,no,504
Domingo,Enero,4,Festivo,no,461
Lunes,Enero,5,Laboral,no,304
Martes,Enero,5,Laboral,si,332
Miércoles,Enero,5,Laboral,no,331
Jueves,Enero,5,Laboral,no,342
Viernes,Enero,5,Laboral,no,372
Sábado,Enero,5,Víspera,no,349
Domingo,Enero,5,Festivo,no,412
Lunes,Enero,6,Laboral,no,1212
Martes,Enero,6,Laboral,si,1215
Miércoles,Enero,6,Laboral,no,1165
Jueves,Enero,6,Laboral,no,1127
Viernes,Enero,6,Laboral,no,1167
Sábado,Enero,6,Víspera,no,789
Domingo,Enero,6,Festivo,no,684
Lunes,Enero,7,Laboral,no,4162
Martes,Enero,7,Laboral,si,4491
Miércoles,Enero,7,Laboral,no,4264
Jueves,Enero,7,Laboral,no,4248
Viernes,Enero,7,Laboral,no,4292
Sábado,Enero,7,Víspera,no,1140
Domingo,Enero,7,Festivo,no,821
Lunes,Enero,8,Laboral,no,7817
Martes,Enero,8,Laboral,si,7501
Miércoles,Enero,8,Laboral,no,7935
Jueves,Enero,8,Laboral,no,7719
Viernes,Enero,8,Laboral,no,7949
Sábado,Enero,8,Víspera,no,1907
Domingo,Enero,8,Festivo,no,1194
Lunes,Enero,9,Laboral,no,8709
Martes,Enero,9,Laboral,si,8501
Miércoles,Enero,9,Laboral,no,8326
Jueves,Enero,9,Laboral,no,8384
Viernes,Enero,9,Laboral,no,8370
Sábado,Enero,9,Víspera,no,3571
Domingo,Enero,9,Festivo,no,1883
Lunes,Enero,10,Laboral,no,7099
Martes,Enero,10,Laboral,si,7086
Miércoles,Enero,10,Laboral,no,7294
Jueves,Enero,10,Laboral,no,6949
Viernes,Enero,10,Laboral,no,7096
Sábado,Enero,10,Víspera,no,4943
Domingo,Enero,10,Festivo,no,2792
Lunes,Enero,11,Laboral,no,6480
Martes,Enero,11,Laboral,si,6542
Miércoles,Enero,11,Laboral,no,6650
Jueves,Enero,11,Laboral,no,6394
Viernes,Enero,11,Laboral,no,4728
Sábado,Enero,11,Víspera,no,5560
Domingo,Enero,11,Festivo,no,4094
Lunes,Enero,12,Laboral,no,6551
Martes,Enero,12,Laboral,si,6394
Miércoles,Enero,12,Laboral,no,6413
Jueves,Enero,12,Laboral,no,6519
Viernes,Enero,12,Laboral,no,5204
Sábado,Enero,12,Víspera,no,6058
Domingo,Enero,12,Festivo,no,4782
Lunes,Enero,13,Laboral,no,6712
Martes,Enero,13,Laboral,si,6511
Miércoles,Enero,13,Laboral,no,6814
Jueves,Enero,13,Laboral,no,6819
Viernes,Enero,13,Laboral,no,7166
Sábado,Enero,13,Víspera,no,6389
Domingo,Enero,13,Festivo,no,5239
Lunes,Enero,14,Laboral,no,7621
Martes,Enero,14,Laboral,si,7370
Miércoles,Enero,14,Laboral,no,7580
Jueves,Enero,14,Laboral,no,7647
Viernes,Enero,14,Laboral,no,8489
Sábado,Enero,14,Víspera,no,7422
Domingo,Enero,14,Festivo,no,6472
Lunes,Enero,15,Laboral,no,8216
Martes,Enero,15,Laboral,si,8101
Miércoles,Enero,15,Laboral,no,8464
Jueves,Enero,15,Laboral,no,8392
Viernes,Enero,15,Laboral,no,9497
Sábado,Enero,15,Víspera,no,6885
Domingo,Enero,15,Festivo,no,5546
Lunes,Enero,16,Laboral,no,8373
Martes,Enero,16,Laboral,si,8068
Miércoles,Enero,16,Laboral,no,8481
Jueves,Enero,16,Laboral,no,8384
Viernes,Enero,16,Laboral,no,8651
Sábado,Enero,16,Víspera,no,5026
Domingo,Enero,16,Festivo,no,4681
Lunes,Enero,17,Laboral,no,7872
Martes,Enero,17,Laboral,si,8240
Miércoles,Enero,17,Laboral,no,8002
Jueves,Enero,17,Laboral,no,8157
Viernes,Enero,17,Laboral,no,8001
Sábado,Enero,17,Víspera,no,5426
Domingo,Enero,17,Festivo,no,4683
Lunes,Enero,18,Laboral,no,8074
Martes,Enero,18,Laboral,si,8300
Miércoles,Enero,18,Laboral,no,8071
